Date, AverageMbps, AverageRtt, AverageJitter
2012-03-18_19-56-08, 6235.837, 0.078, 0.005
2012-03-18_20-32-47, 6136.298, 0.079, 0.005
2012-03-18_20-35-19, 6280.756, 0.078, 0.005
2012-03-18_20-37-40, 4492.344, 0.082, 0.006
2012-03-18_20-39-39, 6316.126, 0.080, 0.001
2012-03-18_20-44-24, 6148.567, 0.079, 0.005
2012-03-18_20-44-56, 6093.197, 0.079, 0.005
2012-03-18_20-51-02, 6020.514, 0.080, 0.005
2012-03-18_20-52-48, 6096.781, 0.079, 0.006
2012-03-18_20-53-58, 6257.538, 0.078, 0.005
2012-03-18_20-59-09, 5708.013, 0.080, 0.006
2012-03-18_21-00-30, 4852.645, 0.080, 0.005
2012-03-18_21-01-59, 6208.666, 0.079, 0.005
2012-03-18_21-02-49, 6109.793, 0.080, 0.004
2012-03-18_21-07-23, 6088.990, 0.079, 0.005
2012-03-18_21-08-01, 6174.028, 0.079, 0.005
2012-03-18_21-14-23, 6327.476, 0.080, 0.006
2012-03-18_21-15-18, 6284.085, 0.079, 0.005
2012-03-18_21-16-20, 6128.306, 0.079, 0.005
2012-03-18_21-16-46, 6174.961, 0.079, 0.005
2012-03-18_21-17-09, 6196.453, 0.081, 0.004
2012-03-18_21-17-32, 6209.857, 0.080, 0.003
2012-03-18_21-18-29, 6180.501, 0.081, 0.003
2012-03-18_21-19-14, 6298.137, 0.080, 0.005
2012-03-18_21-19-58, 6234.921, 0.079, 0.001
2012-03-18_21-20-30, 6257.701, 0.079, 0.005
2012-03-18_21-22-11, 6079.280, 0.080, 0.005
2012-03-18_21-23-04, 6199.049, 0.081, 0.005
2012-03-18_21-23-31, 6239.436, 0.080, 0.002
2012-03-18_21-24-12, 6190.428, 0.080, 0.004
2012-03-18_21-25-04, 6098.571, 0.080, 0.004
2012-03-18_21-27-26, 5949.302, 0.079, 0.005
2012-03-18_21-29-26, 4732.422, 0.081, 0.005
2012-03-18_21-33-53, 6224.944, 0.080, 0.005
2012-03-18_21-35-41, 6179.480, 0.078, 0.004
2012-03-18_21-37-03, 6128.985, 0.080, 0.004
2012-03-18_23-03-28, 6263.985, 0.079, 0.005
2012-03-19_18-45-27, 6108.974, 0.082, 0.001
2012-03-19_18-48-06, 4763.153, 0.084, 0.002
2012-03-19_18-49-25, 6103.657, 0.079, 0.005
2012-03-19_18-51-52, 6055.332, 0.083, 0.000
2012-03-19_18-53-44, 6198.013, 0.079, 0.005
2012-03-19_18-55-29, 4795.964, 0.083, 0.001
2012-03-19_19-18-27, 6261.929, 0.078, 0.005
2012-03-19_19-19-58, 6154.288, 0.079, 0.005
2012-03-19_19-21-25, 6217.945, 0.080, 0.005
2012-03-19_19-24-19, 6053.379, 0.080, 0.005
2012-03-19_19-26-07, 5838.070, 0.079, 0.004
2012-03-19_19-36-33, 6311.910, 0.079, 0.004
2012-03-19_19-36-42, 5892.522, 0.084, 0.001
2012-03-19_19-36-50, 5937.809, 0.083, 0.001
