Date, Mbps, LossPercent, Jitter, DuplicationPercent, ReorderingPercent
2012-03-18_21:25:07, 40M, 0.000, 0.001ms, 0.000, 0.000
2012-03-18_21:27:30, 40M, 0.000, 0.008ms, 0.000, 0.000
2012-03-18_21:29:29, 40M, 0.000, 0.004ms, 0.000, 0.000
2012-03-18_21:33:56, 40M, 0.000, 0.005ms, 0.000, 0.000
2012-03-18_21:35:44, 40M, 0.000, 0.004ms, 0.000, 0.000
2012-03-18_21:37:07, 40M, 0.000, 0.003ms, 0.000, 0.000
2012-03-18_23:03:31, 40M, 0.000, 0.003ms, 0.000, 0.000
2012-03-19_18:45:30, 40M, 0.000, 0.005ms, 0.000, 0.000
2012-03-19_18:48:09, 40M, 0.000, 0.018ms, 0.000, 0.000
2012-03-19_18:49:28, 40M, 0.000, 0.011ms, 0.000, 0.000
2012-03-19_18:51:56, 40M, 0.000, 0.001ms, 0.000, 0.000
2012-03-19_18:53:47, 40M, 0.000, 0.002ms, 0.000, 0.000
2012-03-19_18:55:33, 40M, 0.000, 0.011ms, 0.000, 0.000
2012-03-19_19:18:30, 40M, 0.000, 0.004ms, 0.000, 0.000
2012-03-19_19:20:01, 40M, 0.000, 0.004ms, 0.000, 0.000
2012-03-19_19:21:28, 40M, 0.000, 0.002ms, 0.000, 0.000
2012-03-19_19:24:22, 40M, 0.000, 0.002ms, 0.000, 0.000
2012-03-19_19:26:11, 40M, 0.000, 0.006ms, 0.000, 0.000
2012-03-19_19:36:36, 40M, 0.000, 0.003ms, 0.000, 0.000
2012-03-19_19:36:45, 40M, 0.000, 0.019ms, 0.000, 0.000
2012-03-19_19:36:54, 40M, 0.000, 0.027ms, 0.000, 0.000
