Date, AverageMbps, AverageRtt, AverageJitter
2012-03-18_18-45-27, 6130.104, 0.082, 0.001
2012-03-18_18-48-06, 4800.245, 0.084, 0.002
2012-03-18_18-49-25, 6096.963, 0.079, 0.005
2012-03-18_18-51-52, 6015.914, 0.083, 0.001
2012-03-18_18-53-44, 6251.666, 0.079, 0.005
2012-03-18_18-55-29, 4823.415, 0.083, 0.001
2012-03-18_19-18-27, 6276.238, 0.078, 0.005
2012-03-18_19-19-58, 6100.769, 0.079, 0.005
2012-03-18_19-21-25, 6251.278, 0.080, 0.004
2012-03-18_19-24-19, 6102.636, 0.080, 0.005
2012-03-18_19-26-07, 5870.666, 0.079, 0.004
2012-03-18_19-36-33, 6256.986, 0.079, 0.004
2012-03-18_19-36-42, 5910.179, 0.084, 0.001
2012-03-18_19-36-50, 5913.125, 0.083, 0.001
2012-03-18_19-56-08, 6277.005, 0.078, 0.001
2012-03-18_20-32-47, 6222.495, 0.079, 0.005
2012-03-18_20-35-19, 6288.004, 0.078, 0.004
2012-03-18_20-37-40, 4500.364, 0.082, 0.006
2012-03-18_20-39-39, 6288.638, 0.080, 0.001
2012-03-18_20-44-24, 6155.147, 0.079, 0.005
2012-03-18_20-44-56, 6104.004, 0.079, 0.005
2012-03-18_20-51-02, 5973.456, 0.080, 0.005
2012-03-18_20-52-48, 6003.957, 0.079, 0.006
2012-03-18_20-53-58, 6226.803, 0.078, 0.005
2012-03-18_20-59-09, 5744.945, 0.080, 0.006
2012-03-18_21-00-30, 4865.081, 0.080, 0.005
2012-03-18_21-01-59, 6155.839, 0.079, 0.005
2012-03-18_21-02-49, 6134.054, 0.080, 0.004
2012-03-18_21-07-23, 6034.189, 0.079, 0.005
2012-03-18_21-08-01, 6146.794, 0.079, 0.005
2012-03-18_21-14-23, 6309.441, 0.080, 0.002
2012-03-18_21-15-18, 6262.552, 0.079, 0.005
2012-03-18_21-16-20, 6045.236, 0.079, 0.005
2012-03-18_21-16-46, 6198.236, 0.079, 0.005
2012-03-18_21-17-09, 6113.790, 0.081, 0.004
2012-03-18_21-17-32, 6235.177, 0.080, 0.004
2012-03-18_21-18-29, 6131.392, 0.081, 0.003
2012-03-18_21-19-14, 6235.904, 0.080, 0.005
2012-03-18_21-19-58, 6203.250, 0.079, 0.001
2012-03-18_21-20-30, 6252.893, 0.079, 0.005
2012-03-18_21-22-11, 6121.917, 0.080, 0.005
2012-03-18_21-23-04, 6177.668, 0.081, 0.005
2012-03-18_21-23-31, 6174.548, 0.080, 0.005
2012-03-18_21-24-12, 6305.170, 0.080, 0.004
2012-03-18_21-25-04, 6031.510, 0.080, 0.005
2012-03-18_21-27-26, 5986.122, 0.079, 0.005
2012-03-18_21-29-26, 4722.628, 0.081, 0.005
2012-03-18_21-33-53, 6162.121, 0.080, 0.005
2012-03-18_21-35-41, 6167.915, 0.078, 0.005
2012-03-18_21-37-03, 6151.145, 0.080, 0.004
2012-03-18_23-03-28, 6223.811, 0.079, 0.005
